the_name,country,matched_university_id,world_rank,overall_score,teaching,research,citations_or_research_quality,international_outlook,industry_income
University of L’Aquila,Italy,,601–800,39.0,32.8,22.4,66.6,39.4,78.5
University of Minho,Portugal,,601–800,39.0,28.0,33.6,57.1,48.9,82.6
University of Mons,Belgium,,601–800,39.0,27.2,30.9,58.4,70.4,66.4
University of Neuchâtel,Switzerland,1973,601–800,39.0,35.0,24.2,57.8,84.5,47.1
University of Parma,Italy,1045,601–800,39.0,20.9,23.9,70.1,39.2,64.8
University of Passau,Germany,861,601–800,39.0,32.7,37.0,52.5,57.2,70.4
University of Rennes 1,France,556,601–800,39.0,34.3,20.0,53.4,62.2,70.0
University of Santiago de Compostela,Spain,1887,601–800,39.0,30.8,23.1,60.9,48.4,48.2
University of Tuscia,Italy,,601–800,39.0,23.8,28.7,66.5,50.6,59.7
University of Udine,Italy,1064,601–800,39.0,32.8,20.9,69.4,41.1,58.5
University of Warsaw,Poland,1302,601–800,39.0,38.1,32.6,46.7,45.0,39.3
University of Wuppertal,Germany,,601–800,39.0,31.5,31.2,60.6,55.5,65.3
University of the Basque Country,Spain,,601–800,39.0,31.1,21.9,63.3,45.0,61.5
University of the West of Scotland,United Kingdom,,601–800,39.0,19.5,15.5,69.7,91.0,66.1
Université Côte d'Azur,France,,601–800,39.0,30.9,20.8,61.4,81.6,65.8
Yildiz Technical University,Turkey,,601–800,39.0,33.1,31.6,48.5,39.5,72.9
École Nationale des Travaux Publics de l'État (ENTPE),France,423,601–800,39.0,36.4,37.2,41.8,71.7,80.1
École des Mines de Saint-Étienne,France,,601–800,39.0,47.3,31.3,30.1,72.0,78.9
Örebro University,Sweden,1921,601–800,39.0,19.3,25.2,78.3,54.4,50.5
Abdullah Gül University,Turkey,,801–1000,35.5,22.2,27.2,54.9,49.8,56.9
Aristotle University of Thessaloniki,Greece,886,801–1000,35.5,22.7,19.4,63.4,37.0,62.6
Arts et Métiers,France,,801–1000,35.5,35.1,23.0,40.6,66.3,82.5
Atatürk University,Turkey,,801–1000,35.5,29.5,28.0,51.8,36.7,29.0
Azerbaijan State University of Economics,Azerbaijan,,801–1000,35.5,23.4,9.3,74.5,59.0,19.4
Bahçeşehir University,Turkey,,801–1000,35.5,19.0,22.9,59.4,60.6,34.0
Birmingham City University,United Kingdom,2091,801–1000,35.5,17.9,13.4,65.5,86.3,25.2
Bucharest University of Economic Studies,Romania,,801–1000,35.5,19.2,11.9,81.5,31.8,23.1
Cankaya University,Turkey,,801–1000,35.5,15.9,15.9,80.9,51.2,20.5
Carlos III University of Madrid,Spain,1832,801–1000,35.5,32.6,21.7,45.7,62.6,66.7
Catholic University of Portugal,Portugal,,801–1000,35.5,20.3,24.9,61.9,57.7,30.9
Empress Catherine II Saint Petersburg Mining University,Russian Federation,,801–1000,35.5,28.7,17.9,62.8,45.8,51.6
European University Cyprus,Cyprus,226,801–1000,35.5,20.4,15.3,65.8,92.9,19.9
Eötvös Loránd University,Hungary,922,801–1000,35.5,29.6,19.8,55.4,50.3,39.7
Gabriele d‘Annunzio University,Italy,,801–1000,35.5,17.6,20.9,63.6,38.7,56.0
Glasgow Caledonian University,United Kingdom,2125,801–1000,35.5,17.8,15.2,63.7,83.5,48.7
Hacettepe University,Turkey,,801–1000,35.5,34.8,28.6,49.0,27.0,58.7
Halmstad University,Sweden,1901,801–1000,35.5,20.4,16.7,64.8,68.0,29.0
IMT Nord Europe,France,,801–1000,35.5,32.9,31.0,28.8,72.0,68.4
Innopolis University,Russian Federation,,801–1000,35.5,23.9,24.5,45.3,80.0,58.3
Istanbul Medipol University,Turkey,,801–1000,35.5,33.0,29.4,42.6,65.5,54.6
Jönköping University,Sweden,1906,801–1000,35.5,21.0,22.4,65.5,66.9,37.0
Kazan Federal University,Russian Federation,,801–1000,35.5,46.6,22.1,27.7,68.4,52.2
Kingston University,United Kingdom,2147,801–1000,35.5,20.4,15.4,54.6,90.9,48.3
Leeds Beckett University,United Kingdom,2160,801–1000,35.5,19.2,15.9,69.2,74.9,48.0
Marie and Louis Pasteur University,France,,801–1000,35.5,22.7,20.4,51.9,68.1,64.6
Medical University of Lodz,Poland,,801–1000,35.5,31.3,11.6,65.5,31.1,46.4
Montanuniversität Leoben,Austria,69,801–1000,35.5,40.7,21.3,34.6,77.6,78.6
National Institute of Applied Sciences of Lyon (INSA Lyon),France,,801–1000,35.5,38.7,22.9,36.7,69.6,93.3
National Technical University of Athens,Greece,893,801–1000,35.5,33.3,24.4,55.1,35.4,61.2
National University of Science and Technology (MISiS),Russian Federation,,801–1000,35.5,40.2,29.8,34.5,54.3,74.7
National Veterinary School of Alfort (EnvA),France,,801–1000,35.5,44.3,11.9,44.2,54.7,44.7
Norwegian University of Life Sciences,Norway,1200,801–1000,35.5,32.0,15.4,58.4,63.5,40.8
Open University of Catalonia,Spain,,801–1000,35.5,18.5,20.5,68.3,50.0,32.8
Oxford Brookes University,United Kingdom,2099,801–1000,35.5,26.9,23.1,53.9,88.1,30.6
Ozyegin University,Turkey,,801–1000,35.5,20.6,30.7,47.8,58.2,80.9
Pablo de Olavide University,Spain,1880,801–1000,35.5,23.2,19.4,57.3,52.2,55.8
Panthéon-Sorbonne University – Paris 1,France,548,801–1000,35.5,36.9,34.0,38.0,63.4,35.8
Peter the Great St Petersburg Polytechnic University,Russian Federation,,801–1000,35.5,35.7,23.0,38.0,62.0,71.4
RUDN University,Russian Federation,,801–1000,35.5,39.9,27.8,40.2,68.7,36.6
Reykjavík University,Iceland,954,801–1000,35.5,18.8,25.9,62.5,62.4,33.7
Robert Gordon University,United Kingdom,2188,801–1000,35.5,17.3,13.9,69.9,90.1,39.2
Sheffield Hallam University,United Kingdom,2199,801–1000,35.5,18.0,14.1,65.5,73.2,34.9
Siberian Federal University,Russian Federation,,801–1000,35.5,34.2,26.9,36.6,59.1,61.1
The Open University,United Kingdom,2177,801–1000,35.5,17.8,14.3,67.0,61.5,48.0
Tomsk Polytechnic University,Russian Federation,1694,801–1000,35.5,40.9,25.1,29.8,70.1,63.5
Universitat Ramon Llull,Spain,1884,801–1000,35.5,20.8,17.6,63.2,73.7,36.5
University of Alcalá,Spain,,801–1000,35.5,29.2,17.0,54.3,59.6,47.8
University of Córdoba,Spain,1839,801–1000,35.5,27.4,20.7,60.4,50.6,45.8
University of Debrecen,Hungary,941,801–1000,35.5,41.7,18.2,45.7,58.0,50.6
University of Foggia,Italy,1026,801–1000,35.5,16.8,26.0,63.6,32.2,38.0
University of Hagen,Germany,,801–1000,35.5,30.1,36.3,42.4,44.5,46.4
University of Jaén,Spain,1852,801–1000,35.5,23.9,20.7,67.0,50.2,39.2
University of Ljubljana,Slovenia,1808,801–1000,35.5,27.8,23.8,56.0,42.6,69.1
University of Lleida,Spain,1843,801–1000,35.5,23.2,20.3,59.6,43.3,61.4
University of Malta,Malta,1132,801–1000,35.5,24.9,18.2,61.6,56.2,36.8
University of Medicine and Pharmacy Carol Davila,Romania,,801–1000,35.5,26.1,12.5,73.4,37.0,30.2
University of Namur,Belgium,,801–1000,35.5,26.8,26.7,49.0,70.6,62.4
University of Nova Gorica,Slovenia,1807,801–1000,35.5,29.9,19.0,49.5,86.7,29.6
University of Patras,Greece,907,801–1000,35.5,18.5,23.6,60.0,34.2,73.2
University of Roehampton,United Kingdom,,801–1000,35.5,18.9,22.8,55.0,88.2,27.6
University of Rome III,Italy,,801–1000,35.5,22.7,25.6,54.7,42.2,63.2
University of Salamanca,Spain,1886,801–1000,35.5,32.0,24.8,47.9,54.5,46.6
University of Salento,Italy,,801–1000,35.5,27.2,21.4,61.4,35.6,55.8
University of Salford,United Kingdom,2192,801–1000,35.5,19.0,14.8,64.9,84.8,57.0
University of Seville,Spain,,801–1000,35.5,24.9,27.9,55.8,47.4,60.4
University of Vic – Central University of Catalonia,Spain,,801–1000,35.5,21.4,14.1,70.8,55.8,23.6
University of Vigo,Spain,1892,801–1000,35.5,25.2,19.8,60.9,49.8,60.1
University of Westminster,United Kingdom,2235,801–1000,35.5,19.0,16.5,63.1,85.4,48.7
University of Wolverhampton,United Kingdom,2238,801–1000,35.5,20.3,15.6,59.3,78.8,47.3
University of the Balearic Islands,Spain,,801–1000,35.5,27.9,16.9,56.6,52.1,38.4
Université de Bretagne Occidentale,France,522,801–1000,35.5,27.0,19.6,51.8,63.3,49.4
Ural Federal University,Russian Federation,1734,801–1000,35.5,25.7,29.2,44.4,60.5,58.3
Vilnius University,Lithuania,1118,801–1000,35.5,26.8,26.5,53.6,49.8,58.3
École Centrale de Lyon,France,364,801–1000,35.5,37.2,22.8,29.5,76.3,85.5
AGH University of Krakow,Poland,,1001–1200,32.1,32.7,21.6,39.8,34.8,71.6
"Adam Mickiewicz University, Poznań",Poland,1215,1001–1200,32.1,20.6,30.7,46.8,38.2,37.3
Anadolu University,Turkey,,1001–1200,32.1,23.4,10.8,62.6,33.4,22.1
Athens University of Economics and Business,Greece,885,1001–1200,32.1,18.7,24.6,45.3,43.4,63.4
Bartin University,Turkey,,1001–1200,32.1,13.7,14.3,69.5,41.3,18.5
CY Cergy Paris University,France,,1001–1200,32.1,26.3,20.5,38.1,90.1,56.5
Cardiff Metropolitan University,United Kingdom,,1001–1200,32.1,20.7,14.4,51.3,86.8,26.8
Edge Hill University,United Kingdom,2119,1001–1200,32.1,18.5,14.2,62.2,58.7,30.7
European University of Madrid,Spain,,1001–1200,32.1,24.8,10.0,61.2,65.5,18.5
Financial University under the Government of the Russian Federation,Russian Federation,,1001–1200,32.1,30.0,21.1,42.5,40.3,35.2
Firat University,Turkey,,1001–1200,32.1,24.4,13.9,57.0,38.3,32.7
Gdańsk University of Technology,Poland,,1001–1200,32.1,22.1,19.3,55.0,42.1,60.6
ITMO University,Russian Federation,1518,1001–1200,32.1,30.4,29.9,33.0,57.9,80.6
Istanbul Gelisim University,Turkey,,1001–1200,32.1,12.8,9.4,71.7,60.7,16.2
Izmir Institute of Technology,Turkey,,1001–1200,32.1,31.1,29.8,32.2,38.1,60.4
Jaume I University,Spain,,1001–1200,32.1,25.7,21.9,50.4,44.3,46.7
Kaunas University of Technology,Lithuania,1104,1001–1200,32.1,25.2,19.9,52.8,42.2,46.8
Kore University of Enna,Italy,,1001–1200,32.1,17.8,16.6,57.8,41.3,43.0
Lithuanian University of Health Sciences,Lithuania,,1001–1200,32.1,29.9,13.6,57.5,55.8,29.0
Medical University of Gdańsk,Poland,,1001–1200,32.1,26.8,12.0,55.8,38.3,45.5
Medical University of Warsaw,Poland,,1001–1200,32.1,28.7,12.6,52.2,33.3,48.8
Moscow Technical University of Communications and Informatics,Russian Federation,,1001–1200,32.1,14.3,11.6,71.0,23.8,47.7
Novosibirsk State University,Russian Federation,1615,1001–1200,32.1,38.4,29.6,24.0,49.3,57.0
Palacký University Olomouc,Czechia,,1001–1200,32.1,23.3,25.0,47.3,60.0,41.0
Riga Technical University,Latvia,1094,1001–1200,32.1,27.1,25.3,33.6,65.4,56.4
Sechenov University,Russian Federation,,1001–1200,32.1,30.2,19.4,43.6,54.9,40.7
Selçuk University,Turkey,,1001–1200,32.1,32.1,23.7,37.9,33.6,67.1
Silesian University of Technology,Poland,,1001–1200,32.1,27.7,17.7,50.7,36.0,45.4
Sumy State University,Ukraine,2058,1001–1200,32.1,20.6,16.4,56.1,49.7,21.6
TU Bergakademie Freiberg,Germany,813,1001–1200,32.1,38.0,25.5,28.5,68.1,57.0
Tallinn University,Estonia,303,1001–1200,32.1,27.2,24.5,47.8,55.2,24.4
Technical University of Madrid,Spain,,1001–1200,32.1,27.8,18.1,45.7,53.8,71.2
Technische Universität Ilmenau,Germany,815,1001–1200,32.1,31.4,21.9,37.1,64.8,70.9
Universitat Internacional de Catalunya,Spain,1850,1001–1200,32.1,26.1,11.2,50.2,69.9,21.3
University of Algarve,Portugal,,1001–1200,32.1,19.6,22.1,54.1,62.8,29.7
University of Alicante,Spain,1825,1001–1200,32.1,27.6,21.2,47.9,41.7,56.1
University of Almería,Spain,1827,1001–1200,32.1,22.7,21.2,51.0,45.0,34.5
University of Angers,France,518,1001–1200,32.1,18.8,23.1,51.1,70.9,58.6
University of Bedfordshire,United Kingdom,2092,1001–1200,32.1,18.1,14.0,55.3,86.7,32.9
University of Belgrade,Serbia,1764,1001–1200,32.1,22.6,27.3,50.9,41.6,31.9
University of Bucharest,Romania,1428,1001–1200,32.1,21.6,24.1,58.4,30.9,27.0
University of Camerino (Unicam),Italy,,1001–1200,32.1,21.7,18.3,54.2,55.1,58.5
University of Campania Luigi Vanvitelli,Italy,,1001–1200,32.1,18.4,10.0,75.0,31.5,51.2
University of Castilla-La Mancha,Spain,1837,1001–1200,32.1,24.0,17.9,52.8,45.0,53.5
University of Clermont Auvergne,France,2299,1001–1200,32.1,20.8,18.6,49.3,65.4,60.1
University of East London,United Kingdom,2223,1001–1200,32.1,23.6,15.3,49.5,87.5,32.2
University of Girona,Spain,2323,1001–1200,32.1,21.2,24.6,51.5,55.9,53.4
University of Gloucestershire,United Kingdom,2128,1001–1200,32.1,18.5,14.2,58.7,72.2,27.1
University of Hradec Králové,Czechia,,1001–1200,32.1,20.6,15.8,61.7,63.5,34.7
University of La Laguna,Spain,1854,1001–1200,32.1,23.4,16.1,55.2,49.3,36.2
University of Lancashire,United Kingdom,,1001–1200,32.1,18.7,13.4,57.2,82.6,38.7
University of Latvia,Latvia,1088,1001–1200,32.1,20.5,31.3,42.3,50.7,52.3
University of Medicine and Pharmacy of Craiova,Romania,,1001–1200,32.1,26.1,10.4,59.4,36.8,23.0
University of Murcia,Spain,1857,1001–1200,32.1,25.6,19.4,55.2,36.5,55.1
University of Oviedo,Spain,1869,1001–1200,32.1,30.3,19.8,48.0,40.6,48.3
University of Piraeus,Greece,900,1001–1200,32.1,16.7,21.7,53.3,25.6,88.3
University of Pécs,Hungary,936,1001–1200,32.1,32.4,18.7,38.3,55.9,40.6
University of Sannio,Italy,1053,1001–1200,32.1,30.4,16.8,56.5,29.7,42.8
University of Savoie Mont Blanc,France,,1001–1200,32.1,17.8,17.6,58.4,62.9,55.1
University of South Bohemia in České Budějovice,Czechia,,1001–1200,32.1,23.5,17.4,50.4,55.1,25.1
University of Szeged,Hungary,945,1001–1200,32.1,31.2,16.4,42.3,53.8,48.7
University of Thessaly,Greece,908,1001–1200,32.1,14.3,15.5,64.7,34.7,43.1
University of Tours,France,,1001–1200,32.1,30.9,15.9,42.7,59.0,47.7
University of Zaragoza,Spain,1872,1001–1200,32.1,29.0,20.6,47.9,42.3,71.0
University of the Aegean,Greece,879,1001–1200,32.1,18.1,24.0,52.7,32.0,83.5
Université Bourgogne Europe,France,,1001–1200,32.1,19.5,16.0,58.8,58.4,61.1
York St John University,United Kingdom,2246,1001–1200,32.1,17.3,15.4,60.1,66.1,16.0
ZHAW Zurich University of Applied Sciences,Switzerland,,1001–1200,32.1,23.3,17.3,50.8,69.1,62.3
İstinye University,Turkey,,1001–1200,32.1,12.9,18.4,61.1,76.6,17.4
Akdeniz University,Turkey,,1201–1500,27.3,25.1,26.3,38.2,25.5,60.9
Ankara University,Turkey,,1201–1500,27.3,35.5,17.0,41.3,33.3,35.5
Babeş-Bolyai University,Romania,,1201–1500,27.3,20.7,18.6,48.1,39.3,32.9
Biruni University,Turkey,,1201–1500,27.3,14.7,11.3,58.8,56.4,17.9
Brno University of Technology,Czechia,,1201–1500,27.3,24.6,17.7,34.5,59.0,73.7
Budapest University of Technology and Economics,Hungary,915,1201–1500,27.3,23.0,18.4,34.2,38.9,65.1
Canterbury Christ Church University,United Kingdom,2106,1201–1500,27.3,18.0,13.5,46.3,74.1,19.0
Comenius University Bratislava,Slovakia,1796,1201–1500,27.3,29.4,17.0,37.2,52.9,30.0
Czech Technical University in Prague,Czechia,,1201–1500,27.3,30.9,17.8,32.6,59.2,63.7
Democritus University of Thrace,Greece,,1201–1500,27.3,17.4,16.8,56.1,28.7,37.0
Duzce University,Turkey,,1201–1500,27.3,19.3,20.1,48.3,29.9,56.6
Ege University,Turkey,,1201–1500,27.3,35.0,14.0,34.2,27.1,51.3
Erciyes University,Turkey,,1201–1500,27.3,25.0,13.6,43.0,34.3,41.0
Gazi University,Turkey,,1201–1500,27.3,27.3,19.6,37.1,24.5,69.5
Gebze Technical University,Turkey,,1201–1500,27.3,24.9,22.5,40.0,40.5,37.3
HES-SO University of Applied Sciences and Arts of Western Switzerland,Switzerland,1982,1201–1500,27.3,24.5,13.8,36.2,84.0,29.6
Hungarian University of Agriculture and Life Sciences,Hungary,,1201–1500,27.3,33.2,13.2,42.0,61.2,25.3
I. Horbachevsky Ternopil National Medical University,Ukraine,,1201–1500,27.3,24.9,9.8,60.0,37.8,16.5
Ilia State University,Georgia,,1201–1500,27.3,18.9,9.7,47.6,53.0,17.5
Immanuel Kant Baltic Federal University,Russian Federation,,1201–1500,27.3,37.1,22.1,20.3,58.0,37.1
Inönü University,Turkey,,1201–1500,27.3,23.1,15.5,52.6,22.6,31.6
Istanbul Medeniyet University,Turkey,,1201–1500,27.3,19.2,10.9,53.6,28.0,18.5
Istanbul University,Turkey,,1201–1500,27.3,32.2,25.6,33.2,38.4,56.8
Istanbul University-Cerrahpaşa,Turkey,,1201–1500,27.3,30.3,21.2,39.1,27.5,63.6
Iuliu Haţieganu University of Medicine and Pharmacy Cluj-Napoca,Romania,1422,1201–1500,27.3,26.2,12.4,51.3,49.9,31.1
Medical University of Bialystok,Poland,,1201–1500,27.3,31.9,12.1,39.1,30.3,41.4
Medical University of Lublin,Poland,,1201–1500,27.3,33.5,14.6,35.2,33.6,38.5
Medical University of Silesia in Katowice,Poland,,1201–1500,27.3,30.1,13.0,42.9,26.2,32.0
Mendel University in Brno,Czechia,,1201–1500,27.3,25.4,18.2,39.7,57.0,23.1
Miguel Hernández University of Elche,Spain,1858,1201–1500,27.3,22.0,18.4,42.9,42.6,62.6
National University of Distance Education (UNED),Spain,,1201–1500,27.3,17.2,19.4,41.8,33.3,50.2
Necmettin Erbakan University,Turkey,,1201–1500,27.3,37.5,15.2,37.3,40.7,23.3
Nicolaus Copernicus University in Toruń,Poland,1294,1201–1500,27.3,29.6,23.1,38.6,35.6,33.2
Opole University of Technology,Poland,,1201–1500,27.3,18.6,14.4,45.8,47.0,24.1
Pavol Jozef Šafárik University in Košice,Slovakia,1800,1201–1500,27.3,41.7,11.2,24.5,59.3,24.7
Poznan University of Medical Sciences,Poland,,1201–1500,27.3,31.1,14.3,47.8,33.1,44.1
Poznań University of Life Sciences,Poland,1270,1201–1500,27.3,26.5,12.8,41.0,30.2,30.3
Public University of Navarre,Spain,,1201–1500,27.3,25.5,15.2,49.2,47.3,43.3
Reshetnev Siberian State University of Science and Technology,Russian Federation,,1201–1500,27.3,21.1,9.2,53.0,22.0,37.8
Riga Stradiņš University,Latvia,,1201–1500,27.3,18.5,16.9,39.1,64.6,25.0
SWPS University,Poland,,1201–1500,27.3,15.8,17.0,49.5,49.4,32.8
Sakarya University,Turkey,,1201–1500,27.3,21.8,13.8,49.7,33.2,26.7
Slovak University of Agriculture in Nitra,Slovakia,1795,1201–1500,27.3,27.5,19.3,34.0,49.2,22.9
Süleyman Demirel University,Turkey,,1201–1500,27.3,27.6,11.5,43.8,25.4,24.0
TOBB University of Economics and Technology,Turkey,,1201–1500,27.3,20.0,14.7,40.9,41.1,67.5
Technological University Dublin,Ireland,2318,1201–1500,27.3,17.6,14.7,48.8,64.5,54.7
The John Paul II Catholic University of Lublin,Poland,,1201–1500,27.3,31.6,17.0,36.8,32.1,17.4
Tomas Bata University in Zlín,Czechia,,1201–1500,27.3,22.7,21.1,37.7,53.7,28.8
USAMV Cluj-Napoca,Romania,1447,1201–1500,27.3,19.7,10.0,52.3,37.5,22.0
Universidad Católica San Antonio de Murcia (UCAM),Spain,1834,1201–1500,27.3,19.1,18.2,35.1,57.4,39.2
University Rey Juan Carlos,Spain,1883,1201–1500,27.3,18.7,15.3,47.4,38.4,46.7
University of A Coruña,Spain,,1201–1500,27.3,24.1,18.6,46.1,38.1,46.6
University of Burgos,Spain,1831,1201–1500,27.3,21.8,16.7,44.9,36.3,29.0
University of Cadiz,Spain,1833,1201–1500,27.3,21.2,18.3,42.7,43.4,37.4
"University of Chemistry and Technology, Prague",Czechia,,1201–1500,27.3,37.3,14.7,26.9,54.4,55.0
University of Deusto,Spain,1814,1201–1500,27.3,20.7,20.6,49.3,46.0,39.9
"University of Health Sciences, Turkey",Turkey,,1201–1500,27.3,45.7,10.6,27.3,28.8,17.5
University of Ioannina,Greece,903,1201–1500,27.3,16.9,15.7,50.5,39.5,52.8
University of Las Palmas de Gran Canaria,Spain,1855,1201–1500,27.3,21.4,26.9,42.7,41.7,32.5
University of León,Spain,1868,1201–1500,27.3,24.9,15.9,41.8,36.8,61.0
University of Malaga,Spain,1856,1201–1500,27.3,21.1,17.1,42.1,41.5,54.0
University of Maribor,Slovenia,1809,1201–1500,27.3,21.5,18.0,41.2,39.5,46.2
University of Reims Champagne-Ardenne,France,555,1201–1500,27.3,29.1,9.8,37.4,56.1,36.4
University of Rouen Normandie,France,557,1201–1500,27.3,24.9,13.9,38.3,55.9,51.6
University of South Wales,United Kingdom,,1201–1500,27.3,18.2,11.7,35.7,78.6,52.3
University of Split,Croatia,211,1201–1500,27.3,22.2,15.3,42.3,34.7,28.6
University of Staffordshire,United Kingdom,2206,1201–1500,27.3,16.3,12.3,48.0,73.4,23.8
University of Technology of Compiègne,France,,1201–1500,27.3,28.7,11.6,30.6,81.9,58.7
University of Trás-os-Montes and Alto Douro,Portugal,1390,1201–1500,27.3,19.6,20.9,47.3,40.5,38.6
University of Urbino Carlo Bo,Italy,,1201–1500,27.3,17.6,19.9,47.6,50.1,36.3
University of Valladolid,Spain,1889,1201–1500,27.3,24.8,16.7,40.7,39.5,44.4
University of West London,United Kingdom,,1201–1500,27.3,15.4,10.5,53.3,90.0,20.7
University of Winchester,United Kingdom,,1201–1500,27.3,19.0,15.4,45.4,61.2,18.0
University of Wrocław,Poland,,1201–1500,27.3,28.7,21.8,37.9,45.1,35.5
University of Zagreb,Croatia,213,1201–1500,27.3,27.6,19.1,41.8,31.3,57.5
University of Évora,Portugal,1375,1201–1500,27.3,25.0,21.5,36.8,54.3,25.1
University of Žilina,Slovakia,,1201–1500,27.3,26.2,19.6,39.9,33.9,45.5
Université de Poitiers,France,554,1201–1500,27.3,27.5,20.9,30.5,61.6,39.7
Université d’Orléans,France,,1201–1500,27.3,20.3,16.6,46.1,70.1,51.7
VSB - Technical University of Ostrava,Czechia,,1201–1500,27.3,25.6,20.9,38.5,55.4,48.5
Vytautas Magnus University,Lithuania,1115,1201–1500,27.3,23.7,12.9,36.9,69.5,21.2
Warsaw University of Technology,Poland,1272,1201–1500,27.3,28.3,17.7,32.9,33.9,61.1
Wrocław University of Science and Technology,Poland,,1201–1500,27.3,23.6,19.3,36.2,34.0,58.5
Yaşar University,Turkey,,1201–1500,27.3,21.5,11.8,57.8,43.1,21.1
Acıbadem University,Turkey,,1501+,10.3,27.3,12.4,29.0,37.0,26.4
Adana Alparslan Türkeş Science and Technology University,Turkey,,1501+,10.3,13.7,10.4,31.5,22.9,17.2
Adıyaman University,Turkey,,1501+,10.3,13.0,10.1,33.5,28.0,16.8
Afyon Kocatepe University,Turkey,,1501+,10.3,16.5,9.8,26.4,26.5,22.5
Afyonkarahisar Health Sciences University,Turkey,,1501+,10.3,29.8,11.8,13.1,23.3,24.6
Aksaray University,Turkey,,1501+,10.3,14.8,9.3,24.1,28.9,18.2
Alanya Alaaddin Keykubat University,Turkey,,1501+,10.3,16.4,10.3,20.0,27.2,16.4
Alexandru Ioan Cuza University,Romania,,1501+,10.3,22.5,12.2,29.2,39.3,41.1
Altai State University,Russian Federation,1466,1501+,10.3,23.0,16.4,17.1,62.1,25.3
Altınbaş University,Turkey,,1501+,10.3,17.6,11.7,30.3,54.5,24.1
Ankara Yildirim Beyazit University,Turkey,,1501+,10.3,20.1,13.1,29.5,31.0,22.5
Atılım University,Turkey,,1501+,10.3,16.0,11.5,32.6,46.4,24.1
Aydın Adnan Menderes University,Turkey,,1501+,10.3,28.4,20.3,20.0,22.9,20.4
Azerbaijan State Oil and Industry University,Azerbaijan,,1501+,10.3,25.0,8.1,15.7,44.7,19.7
Azerbaijan Technical University (AzTU),Azerbaijan,,1501+,10.3,26.2,7.5,5.7,35.9,30.4
Baku State University,Azerbaijan,,1501+,10.3,30.1,10.1,21.2,45.4,21.0
Balıkesir University,Turkey,,1501+,10.3,14.6,9.9,15.7,20.7,21.0
Bashkir State Medical University,Russian Federation,,1501+,10.3,28.3,10.3,23.5,49.3,20.1
Başkent University,Turkey,,1501+,10.3,20.8,11.8,19.0,23.1,24.6
Belarusian State University,Belarus,80,1501+,10.3,24.7,11.1,10.9,65.8,45.0
Belgorod State National Research University,Russian Federation,,1501+,10.3,21.8,16.4,11.1,40.6,34.9
Beykent University,Turkey,,1501+,10.3,14.4,8.3,21.9,27.3,17.4
Bezmiâlem Vakif University,Turkey,,1501+,10.3,37.8,12.0,26.1,28.6,22.9
Bialystok University of Technology,Poland,,1501+,10.3,23.5,14.0,23.5,27.6,28.6
Bilecik Şeyh Edebali University,Turkey,,1501+,10.3,16.3,10.2,31.7,37.9,21.7
Bogomolets National Medical University,Ukraine,2043,1501+,10.3,24.0,9.9,9.8,26.4,17.4
Bolu Abant Izzet Baysal University,Turkey,,1501+,10.3,17.1,9.7,29.2,38.0,19.0
Bozok University,Turkey,,1501+,10.3,13.6,10.0,26.7,30.5,17.1
Burdur Mehmet Akif Ersoy University,Turkey,,1501+,10.3,12.6,9.6,34.9,23.5,18.9
Bursa Technical University,Turkey,,1501+,10.3,13.6,8.7,23.3,34.5,22.8
Bursa Uludağ University,Turkey,,1501+,10.3,19.3,10.2,23.4,36.0,26.5
CEU Universities,Spain,,1501+,10.3,21.9,11.8,33.9,49.8,26.4
Cardinal Stefan Wyszyński University in Warsaw,Poland,1289,1501+,10.3,27.6,22.1,29.1,29.8,18.3
Chelyabinsk State University,Russian Federation,,1501+,10.3,12.9,10.6,9.6,25.4,17.3
Cracow University of Technology,Poland,,1501+,10.3,25.9,10.4,32.7,33.6,30.5
Cukurova University,Turkey,,1501+,10.3,22.3,13.8,32.5,29.8,33.7
Dicle University,Turkey,,1501+,10.3,23.9,9.6,18.2,25.0,22.4
Dnipro University of Technology,Ukraine,,1501+,10.3,13.0,7.6,47.1,27.1,17.6
Dokuz Eylül University,Turkey,,1501+,10.3,27.7,15.9,27.2,30.8,64.6
Don State Technical University,Russian Federation,1487,1501+,10.3,20.9,10.3,21.0,30.8,24.6
Dunarea de Jos University of Galati,Romania,,1501+,10.3,20.0,10.2,32.3,46.2,19.0
Erzincan Binali Yıldırım University,Turkey,,1501+,10.3,13.0,9.1,38.1,25.6,18.1
Eskişehir Osmangazi University,Turkey,,1501+,10.3,20.6,22.6,26.3,27.0,24.6
Eskişehir Technical University,Turkey,,1501+,10.3,20.7,9.8,23.1,23.7,23.0
Far Eastern Federal University,Russian Federation,1489,1501+,10.3,29.1,18.4,16.4,60.5,30.3
Gaziantep University,Turkey,,1501+,10.3,19.0,12.4,33.5,43.2,23.5
Gdynia Maritime University,Poland,1314,1501+,10.3,23.4,11.5,15.5,21.2,54.2
"George Emil Palade University of Medicine, Pharmacy, Science, and Technology of Targu Mures",Romania,,1501+,10.3,17.9,12.8,38.5,35.3,23.0
Georgian Technical University,Georgia,,1501+,10.3,29.8,9.0,14.5,39.1,17.0
Gheorghe Asachi Technical University of Iaşi,Romania,,1501+,10.3,18.2,10.2,21.5,33.6,33.9
Giresun University,Turkey,,1501+,10.3,12.2,9.2,29.3,23.9,16.7
