id,name,country,country_code,city,lat,lon,field_category,field_category_en,field_category_it,fields_offered,fields_source,monthly_room_rent_eur,room_rent_level,room_rent_source,domain,website,the_world_rank,the_overall_score,the_teaching,the_research,the_citations,the_international_outlook,the_industry_income
474,Institut National des Télécommunications,France,FR,Évry,48.6328,2.44049,COMP,Comprehensive (multi-field),Generalista (multidisciplinare),COMP,name-heuristic,500,country:city-derived,https://erasmusplay.com/en/strasbourg.html,int-evry.fr,http://www.int-evry.fr/,,,,,,,
475,Ecole Supérieure d'Optique,France,FR,Palaiseau,48.71828,2.2498,COMP,Comprehensive (multi-field),Generalista (multidisciplinare),COMP,name-heuristic,500,country:city-derived,https://erasmusplay.com/en/strasbourg.html,iso.fr,https://www.iso.fr/,,,,,,,
476,Institut de Recherche et Coordination Acoustique/Musique,France,FR,Paris,48.85341,2.3488,COMP,Comprehensive (multi-field),Generalista (multidisciplinare),COMP,name-heuristic,800,city,https://housinganywhere.com/Paris--France/paris-cost-of-living,ircam.fr,http://www.ircam.fr/,,,,,,,
477,Institut de Recherche et d'Enseignement Supérieur aux Techniques de l'électronique,France,FR,Nantes,47.21725,-1.55336,COMP,Comprehensive (multi-field),Generalista (multidisciplinare),COMP,name-heuristic,450,city,https://www.locservice.fr/loire-atlantique-44/location-chambre-nantes.html,ireste.fr,http://www.ireste.fr/,,,,,,,
478,Institut Supérieur Agricole de Beauvais,France,FR,Beauvais,49.43333,2.08333,COMP,Comprehensive (multi-field),Generalista (multidisciplinare),COMP,name-heuristic,500,country:city-derived,https://erasmusplay.com/en/strasbourg.html,isab.fr,http://www.isab.fr/,,,,,,,
479,Institut Supérieur d'Agriculture Lille,France,FR,Lille,50.63391,3.05512,AGR,"Agriculture, Forestry & Veterinary",Agraria e Veterinaria,AGR|ARC|ENG|SCI,ETER,430,city,https://www.locservice.fr/nord-59/location-chambre-lille.html,isa.fupl.asso.fr,http://www.isa.fupl.asso.fr/,,,,,,,
480,Institut Supérieur d'Agriculture Rhone-Alpes,France,FR,Lyon,45.74906,4.84789,AGR,"Agriculture, Forestry & Veterinary",Agraria e Veterinaria,AGR,ETER,520,city,https://www.locservice.fr/rhone-69/location-chambre-lyon.html,isara.fr,http://www.isara.fr/,,,,,,,
481,Institut Supérieure d'Electronique du Nord,France,FR,Lille,50.63391,3.05512,COMP,Comprehensive (multi-field),Generalista (multidisciplinare),COMP,name-heuristic,430,city,https://www.locservice.fr/nord-59/location-chambre-lille.html,isen.fr,http://www.isen.fr/,,,,,,,
482,Institut Supérieure d'Electronique de Paris,France,FR,Paris,48.85341,2.3488,COMP,Comprehensive (multi-field),Generalista (multidisciplinare),ARC|ENG,ETER,800,city,https://housinganywhere.com/Paris--France/paris-cost-of-living,isep.fr,http://www.isep.fr/,,,,,,,
483,Institut des Sciences de l'Ingénieur de Montpellier,France,FR,Montpellier,43.61093,3.87635,ENG,Engineering & Technology,Ingegneria e Tecnologia,ENG,name-heuristic,490,city,https://www.locservice.fr/herault-34/location-chambre-montpellier.html,isim.univ-montp2.fr,http://www.isim.univ-montp2.fr/,,,,,,,
484,Centre d'Etudes Supérieures des Techniques Industrielles,France,FR,Paris,48.85341,2.3488,COMP,Comprehensive (multi-field),Generalista (multidisciplinare),ARC|ENG|ICT|SOC,ETER,800,city,https://housinganywhere.com/Paris--France/paris-cost-of-living,ismcm-cesti.fr,http://www.ismcm-cesti.fr/,,,,,,,
485,Institut des Sciences de la Matière et du Rayonnement,France,FR,Caen,49.18585,-0.35912,COMP,Comprehensive (multi-field),Generalista (multidisciplinare),COMP,name-heuristic,190,city,https://raw.githubusercontent.com/HieuTam/P4DS-Global_Cost_of_Living/main/data/cost-of-living_v2.csv,ismra.fr,http://www.ismra.fr/,,,,,,,
486,Institut Textile et Chimique de Lyon,France,FR,Lyon,45.74906,4.84789,COMP,Comprehensive (multi-field),Generalista (multidisciplinare),ARC|ENG,ETER,520,city,https://www.locservice.fr/rhone-69/location-chambre-lyon.html,itech.fr,http://www.itech.fr/,,,,,,,
487,Sorbonne Université - Faculté des Sciences (Paris VI),France,FR,Paris,48.85341,2.3488,COMP,Comprehensive (multi-field),Generalista (multidisciplinare),COMP,name-heuristic,800,city,https://housinganywhere.com/Paris--France/paris-cost-of-living,jussieu.fr,https://sciences.sorbonne-universite.fr/,,,,,,,
488,Ecole Nationale Supérieure des Mines de Nancy,France,FR,Nancy,48.68439,6.18496,COMP,Comprehensive (multi-field),Generalista (multidisciplinare),COMP,name-heuristic,245,city,https://www.numbeo.com/cost-of-living/in/Nancy,mines.u-nancy.fr,http://www.mines.u-nancy.fr/,,,,,,,
489,Université Michel de Montaigne (Bordeaux III ),France,FR,Bordeaux,44.84124,-0.58046,COMP,Comprehensive (multi-field),Generalista (multidisciplinare),COMP,name-heuristic,510,city,https://www.locservice.fr/gironde-33/location-chambre-bordeaux.html,montaigne.u-bordeaux.fr,http://www.montaigne.u-bordeaux.fr/,,,,,,,
490,Université Montesquieu (Bordeaux IV),France,FR,Bordeaux,44.84124,-0.58046,COMP,Comprehensive (multi-field),Generalista (multidisciplinare),AGR|ARC|ART|BUS|EDU|ENG|HUM|ICT|LAW|MED|SCI|SOC,ETER,510,city,https://www.locservice.fr/gironde-33/location-chambre-bordeaux.html,montesquieu.u-bordeaux.fr,http://www.montesquieu.u-bordeaux.fr/,,,,,,,
491,Ecole d'Architecture de Nancy,France,FR,Nancy,48.68439,6.18496,ARC,Architecture & Urban Planning,Architettura e Urbanistica,ARC,name-heuristic,245,city,https://www.numbeo.com/cost-of-living/in/Nancy,nancy.archi.fr,http://www.nancy.archi.fr/,,,,,,,
492,Université Paris-Sorbonne (Paris IV),France,FR,Paris,48.85341,2.3488,COMP,Comprehensive (multi-field),Generalista (multidisciplinare),ARC|ART|BUS|EDU|ENG|HUM|ICT|LAW|SCI|SOC,ETER,800,city,https://housinganywhere.com/Paris--France/paris-cost-of-living,paris4.sorbonne.fr,http://www.paris4.sorbonne.fr/,,,,,,,
493,Ecole Nationale Supérieure d'Arts et Métiers de Paris,France,FR,Paris,48.85341,2.3488,COMP,Comprehensive (multi-field),Generalista (multidisciplinare),ARC|BUS|ENG|ICT|LAW|MED|SCI,ETER,800,city,https://housinganywhere.com/Paris--France/paris-cost-of-living,paris.ensam.fr,http://www.paris.ensam.fr/,,,,,,,
494,Ecole Polytechnique Universitaire de Lille,France,FR,Lille,50.63391,3.05512,ENG,Engineering & Technology,Ingegneria e Tecnologia,ENG,name-heuristic,430,city,https://www.locservice.fr/nord-59/location-chambre-lille.html,polytech-lille.fr,http://www.polytech-lille.fr/,,,,,,,
495,Ecole Polytechnique Marseille,France,FR,Marseille,43.29695,5.38107,ENG,Engineering & Technology,Ingegneria e Tecnologia,ENG,name-heuristic,545,city,https://www.locservice.fr/bouches-du-rhone-13/location-chambre-marseille.html,polytech-marseille.fr,http://www.polytech-marseille.fr/,,,,,,,
496,École Polytechnique,France,FR,Palaiseau,48.71828,2.2498,ENG,Engineering & Technology,Ingegneria e Tecnologia,ARC|BUS|EDU|ENG|ICT|LAW|SCI|SOC,ETER,500,country:city-derived,https://erasmusplay.com/en/strasbourg.html,polytechnique.fr,http://www.polytechnique.fr/,,,,,,,
497,"Schiller International University, Paris",France,FR,Paris,48.85341,2.3488,COMP,Comprehensive (multi-field),Generalista (multidisciplinare),COMP,name-heuristic,800,city,https://housinganywhere.com/Paris--France/paris-cost-of-living,schillerparis.com,http://www.schillerparis.com/,,,,,,,
498,"Schiller International University, Strasbourg",France,FR,Strasbourg,48.58392,7.74553,COMP,Comprehensive (multi-field),Generalista (multidisciplinare),COMP,name-heuristic,530,city,https://www.locservice.fr/bas-rhin-67/location-chambre-strasbourg.html,schillerstrasbourg.com,http://www.schillerstrasbourg.com/,,,,,,,
499,Institut d'Etudes Politiques de Paris (Sciences Po),France,FR,Paris,48.85341,2.3488,SOC,Social & Political Sciences,Scienze Sociali e Politiche,SOC,name-heuristic,800,city,https://housinganywhere.com/Paris--France/paris-cost-of-living,sciences-po.fr,http://www.sciences-po.fr/,,,,,,,
500,Université Denis Diderot (Paris VII),France,FR,Paris,48.85341,2.3488,COMP,Comprehensive (multi-field),Generalista (multidisciplinare),COMP,name-heuristic,800,city,https://housinganywhere.com/Paris--France/paris-cost-of-living,sigu7.jussieu.fr,http://www.sigu7.jussieu.fr/,,,,,,,
501,Ecole Superieure Robert de Sorbon,France,FR,Vandœuvre-lès-Nancy,48.66115,6.17114,COMP,Comprehensive (multi-field),Generalista (multidisciplinare),COMP,name-heuristic,500,country:city-derived,https://erasmusplay.com/en/strasbourg.html,sorbon.fr,http://www.sorbon.fr/,,,,,,,
502,Ecole Nationale Supérieure de l'Aéronautique et de l'Espace,France,FR,Toulouse,43.60426,1.44367,ENG,Engineering & Technology,Ingegneria e Tecnologia,ENG,name-heuristic,475,city,https://www.locservice.fr/haute-garonne-31/location-chambre-toulouse.html,supaero.fr,http://www.supaero.fr/,,,,,,,
503,Groupe Sup de Co Amiens Picardie,France,FR,Amiens,49.9,2.3,COMP,Comprehensive (multi-field),Generalista (multidisciplinare),COMP,name-heuristic,241,city,https://raw.githubusercontent.com/HieuTam/P4DS-Global_Cost_of_Living/main/data/cost-of-living_v2.csv,supco-amiens.fr,http://www.supco-amiens.fr/,,,,,,,
504,Groupe Sup de Co Montpellier,France,FR,Montpellier,43.61093,3.87635,COMP,Comprehensive (multi-field),Generalista (multidisciplinare),COMP,name-heuristic,490,city,https://www.locservice.fr/herault-34/location-chambre-montpellier.html,supco-montpellier.fr,http://www.supco-montpellier.fr/,,,,,,,
505,Ecole Supérieure d'Electricité,France,FR,Gif-sur-Yvette,48.68333,2.13333,COMP,Comprehensive (multi-field),Generalista (multidisciplinare),ARC|ENG|ICT|SCI|SOC,ETER,500,country:city-derived,https://erasmusplay.com/en/strasbourg.html,supelec.fr,http://www.supelec.fr/,,,,,,,
506,Université d'Aix-Marseille III,France,FR,Marseille,43.29695,5.38107,COMP,Comprehensive (multi-field),Generalista (multidisciplinare),COMP,name-heuristic,545,city,https://www.locservice.fr/bouches-du-rhone-13/location-chambre-marseille.html,u-3mrs.fr,http://www.u-3mrs.fr/,,,,,,,
507,Université Victor Segalen (Bordeaux II),France,FR,Bordeaux,44.84124,-0.58046,COMP,Comprehensive (multi-field),Generalista (multidisciplinare),COMP,name-heuristic,510,city,https://www.locservice.fr/gironde-33/location-chambre-bordeaux.html,u-bordeaux2.fr,http://www.u-bordeaux2.fr/,,,,,,,
508,Université Bourgogne - Franche-Comté,France,FR,Besançon,47.24878,6.01815,COMP,Comprehensive (multi-field),Generalista (multidisciplinare),AGR|ARC|ART|BUS|EDU|ENG|HUM|ICT|LAW|MED|SCI|SOC,ETER,500,country:city-derived,https://erasmusplay.com/en/strasbourg.html,ubfc.fr,http://www.ubfc.fr/,,,,,,,
509,Université de Cergy-Pontoise,France,FR,Cergy-Pontoise,49.03894,2.07805,COMP,Comprehensive (multi-field),Generalista (multidisciplinare),ARC|ART|BUS|EDU|ENG|HUM|ICT|LAW|MED|SCI|SOC,ETER,500,country:city-derived,https://erasmusplay.com/en/strasbourg.html,u-cergy.fr,http://www.u-cergy.fr/,,,,,,,
510,Université d'Auvergne (Clermont-Ferrand I),France,FR,Clermont-Ferrand,45.77969,3.08682,COMP,Comprehensive (multi-field),Generalista (multidisciplinare),COMP,name-heuristic,420,city,https://www.locservice.fr/puy-de-dome-63/location-chambre-clermont-ferrand.html,u-clermont1.fr,http://www.u-clermont1.fr/,,,,,,,
511,Université Catholique de l' Ouest,France,FR,Angers,47.47156,-0.55202,COMP,Comprehensive (multi-field),Generalista (multidisciplinare),COMP,name-heuristic,483,city,https://raw.githubusercontent.com/HieuTam/P4DS-Global_Cost_of_Living/main/data/cost-of-living_v2.csv,uco.fr,http://www.uco.fr/,,,,,,,
512,Université Grenoble Alpes,France,FR,Grenoble,45.17869,5.71479,COMP,Comprehensive (multi-field),Generalista (multidisciplinare),AGR|ARC|ART|BUS|EDU|ENG|HUM|ICT|LAW|MED|SCI|SOC,ETER,261,city,https://raw.githubusercontent.com/HieuTam/P4DS-Global_Cost_of_Living/main/data/cost-of-living_v2.csv,u-grenoble3.fr,https://www.univ-grenoble-alpes.fr/,351–400,49.9,42.6,36.7,62.7,69.4,70.0
513,Université Rennes II - Haute-Bretagne,France,FR,Rennes,48.11109,-1.67431,COMP,Comprehensive (multi-field),Generalista (multidisciplinare),COMP,name-heuristic,430,city,https://www.locservice.fr/ille-et-vilaine-35/location-chambre-rennes.html,uhb.fr,http://www.uhb.fr/,,,,,,,
514,Université Henri Poincaré (Nancy I),France,FR,Nancy,48.68439,6.18496,COMP,Comprehensive (multi-field),Generalista (multidisciplinare),COMP,name-heuristic,245,city,https://www.numbeo.com/cost-of-living/in/Nancy,uhp-nancy.fr,http://www.uhp-nancy.fr/,,,,,,,
515,Université de Caen Basse Normandie,France,FR,Caen,49.18585,-0.35912,COMP,Comprehensive (multi-field),Generalista (multidisciplinare),COMP,name-heuristic,190,city,https://raw.githubusercontent.com/HieuTam/P4DS-Global_Cost_of_Living/main/data/cost-of-living_v2.csv,unicaen.fr,http://www.unicaen.fr/,,,,,,,
516,Université de Nice-Sophia Antipolis,France,FR,Nice,43.70313,7.26608,COMP,Comprehensive (multi-field),Generalista (multidisciplinare),ARC|ART|BUS|EDU|ENG|HUM|ICT|LAW|MED|SCI|SOC,ETER,576,city,https://www.locservice.fr/actualites/marche-colocation-france-2025-14260.html,unice.fr,http://www.unice.fr/,,,,,,,
517,Université de Limoges,France,FR,Limoges,45.83362,1.24759,COMP,Comprehensive (multi-field),Generalista (multidisciplinare),AGR|ARC|ART|BUS|EDU|ENG|HUM|ICT|LAW|MED|SCI|SOC,ETER,299,city,https://raw.githubusercontent.com/HieuTam/P4DS-Global_Cost_of_Living/main/data/cost-of-living_v2.csv,unilim.fr,http://www.unilim.fr/,,,,,,,
518,Université d'Angers,France,FR,Angers,47.47156,-0.55202,COMP,Comprehensive (multi-field),Generalista (multidisciplinare),AGR|ARC|ART|BUS|EDU|ENG|HUM|ICT|LAW|MED|SCI|SOC,ETER,483,city,https://raw.githubusercontent.com/HieuTam/P4DS-Global_Cost_of_Living/main/data/cost-of-living_v2.csv,univ-angers.fr,http://www.univ-angers.fr/,1001–1200,32.1,18.8,23.1,51.1,70.9,58.6
519,Université d'Artois,France,FR,Arras,50.29301,2.78186,COMP,Comprehensive (multi-field),Generalista (multidisciplinare),AGR|ARC|ART|BUS|EDU|ENG|HUM|ICT|LAW|MED|SCI|SOC,ETER,500,country:city-derived,https://erasmusplay.com/en/strasbourg.html,univ-artois.fr,http://www.univ-artois.fr/,,,,,,,
520,Université d'Avignon,France,FR,Avignon,43.94834,4.80892,COMP,Comprehensive (multi-field),Generalista (multidisciplinare),AGR|ARC|ART|BUS|EDU|ENG|HUM|ICT|LAW|MED|SCI|SOC,ETER,285,city,https://raw.githubusercontent.com/HieuTam/P4DS-Global_Cost_of_Living/main/data/cost-of-living_v2.csv,univ-avignon.fr,http://www.univ-avignon.fr/,,,,,,,
521,Université Blaise Pascal (Clermont-Ferrand II),France,FR,Clermont-Ferrand,45.77969,3.08682,COMP,Comprehensive (multi-field),Generalista (multidisciplinare),AGR|ARC|ART|BUS|EDU|ENG|HUM|ICT|LAW|MED|SCI|SOC,ETER,420,city,https://www.locservice.fr/puy-de-dome-63/location-chambre-clermont-ferrand.html,univ-bpclermont.fr,http://www.univ-bpclermont.fr/,,,,,,,
522,Université de Bretagne Occidentale,France,FR,Brest,48.39029,-4.48628,MED,Medicine & Health,Medicina e Salute,MED,name-heuristic,281,city,https://raw.githubusercontent.com/HieuTam/P4DS-Global_Cost_of_Living/main/data/cost-of-living_v2.csv,univ-brest.fr,http://www.univ-brest.fr/,801–1000,35.5,27.0,19.6,51.8,63.3,49.4
523,Université Catholique de Lyon,France,FR,Lyon,45.74906,4.84789,COMP,Comprehensive (multi-field),Generalista (multidisciplinare),COMP,name-heuristic,520,city,https://www.locservice.fr/rhone-69/location-chambre-lyon.html,univ-catholyon.fr,http://www.univ-catholyon.fr/,,,,,,,
524,Université de Corse Pascal Paoli,France,FR,Corte,,,COMP,Comprehensive (multi-field),Generalista (multidisciplinare),COMP,name-heuristic,500,country:city-derived,https://erasmusplay.com/en/strasbourg.html,univ-corse.fr,http://www.univ-corse.fr/,,,,,,,
525,Université d'Evry Val d'Essonne,France,FR,Évry,48.6328,2.44049,COMP,Comprehensive (multi-field),Generalista (multidisciplinare),ARC|ART|BUS|EDU|ENG|HUM|ICT|LAW|MED|SCI|SOC,ETER,500,country:city-derived,https://erasmusplay.com/en/strasbourg.html,univ-evry.fr,http://www.univ-evry.fr/,,,,,,,
526,Université du Havre,France,FR,Le Havre,49.49346,0.10785,COMP,Comprehensive (multi-field),Generalista (multidisciplinare),AGR|ARC|ART|BUS|EDU|ENG|HUM|ICT|LAW|MED|SCI|SOC,ETER,217,city,https://raw.githubusercontent.com/HieuTam/P4DS-Global_Cost_of_Living/main/data/cost-of-living_v2.csv,univ-lehavre.fr,http://www.univ-lehavre.fr/,,,,,,,
527,Université du Maine,France,FR,Le Mans,48.0021,0.20251,COMP,Comprehensive (multi-field),Generalista (multidisciplinare),COMP,name-heuristic,500,country:city-derived,https://erasmusplay.com/en/strasbourg.html,univ-lemans.fr,http://www.univ-lemans.fr/,,,,,,,
528,Université des Sciences et Technologies de Lille (Lille I),France,FR,Lille,50.63391,3.05512,ENG,Engineering & Technology,Ingegneria e Tecnologia,ENG,name-heuristic,430,city,https://www.locservice.fr/nord-59/location-chambre-lille.html,univ-lille1.fr,http://www.univ-lille1.fr/,,,,,,,
529,Université du Droit et de la Sante (Lille II),France,FR,Lille,50.63391,3.05512,MED,Medicine & Health,Medicina e Salute,MED,name-heuristic,430,city,https://www.locservice.fr/nord-59/location-chambre-lille.html,univ-lille2.fr,http://www.univ-lille2.fr/,,,,,,,
530,Université Charles-de-Gaulle (Lille III),France,FR,Lille,50.63391,3.05512,COMP,Comprehensive (multi-field),Generalista (multidisciplinare),ARC|ART|BUS|EDU|ENG|HUM|ICT|LAW|MED|SCI|SOC,ETER,430,city,https://www.locservice.fr/nord-59/location-chambre-lille.html,univ-lille3.fr,http://www.univ-lille3.fr/,,,,,,,
531,Université du Littoral Cote d'Opale,France,FR,Dunkirk,51.0344,2.37681,COMP,Comprehensive (multi-field),Generalista (multidisciplinare),COMP,name-heuristic,500,country:city-derived,https://erasmusplay.com/en/strasbourg.html,univ-littoral.fr,http://www.univ-littoral.fr/,,,,,,,
532,Université de Lorraine,France,FR,Nancy,48.68439,6.18496,COMP,Comprehensive (multi-field),Generalista (multidisciplinare),AGR|ARC|ART|BUS|EDU|ENG|HUM|ICT|LAW|MED|SCI|SOC,ETER,245,city,https://www.numbeo.com/cost-of-living/in/Nancy,univ-lorraine.fr,http://www.univ-lorraine.fr/,,,,,,,
533,Université de La Rochelle,France,FR,La Rochelle,46.16308,-1.15222,COMP,Comprehensive (multi-field),Generalista (multidisciplinare),AGR|ARC|ART|BUS|EDU|ENG|HUM|ICT|LAW|MED|SCI|SOC,ETER,277,city,https://raw.githubusercontent.com/HieuTam/P4DS-Global_Cost_of_Living/main/data/cost-of-living_v2.csv,univ-lr.fr,http://www.univ-lr.fr/,1501+,10.3,19.7,12.6,33.6,65.5,30.2
534,Université Claude Bernard (Lyon I),France,FR,Lyon,45.74906,4.84789,COMP,Comprehensive (multi-field),Generalista (multidisciplinare),AGR|ARC|ART|BUS|EDU|ENG|HUM|ICT|LAW|MED|SCI|SOC,ETER,520,city,https://www.locservice.fr/rhone-69/location-chambre-lyon.html,univ-lyon1.fr,http://www.univ-lyon1.fr/,601–800,39.0,27.0,26.4,62.6,60.2,70.1
535,Université Lumiére (Lyon II),France,FR,Lyon,45.74906,4.84789,COMP,Comprehensive (multi-field),Generalista (multidisciplinare),ARC|ART|BUS|EDU|ENG|HUM|ICT|LAW|MED|SCI|SOC,ETER,520,city,https://www.locservice.fr/rhone-69/location-chambre-lyon.html,univ-lyon2.fr,http://www.univ-lyon2.fr/,,,,,,,
536,Université Jean Moulin (Lyon III),France,FR,Lyon,45.74906,4.84789,COMP,Comprehensive (multi-field),Generalista (multidisciplinare),ARC|ART|BUS|EDU|ENG|HUM|ICT|LAW|SCI|SOC,ETER,520,city,https://www.locservice.fr/rhone-69/location-chambre-lyon.html,univ-lyon3.fr,http://www.univ-lyon3.fr/,1501+,10.3,15.0,13.7,16.0,59.6,29.6
537,Université de la Méditerranée (Aix Marseille II),France,FR,Marseille,43.29695,5.38107,COMP,Comprehensive (multi-field),Generalista (multidisciplinare),COMP,name-heuristic,545,city,https://www.locservice.fr/bouches-du-rhone-13/location-chambre-marseille.html,univmed.fr,http://www.univmed.fr/,,,,,,,
538,Université de Metz,France,FR,Metz,49.11911,6.17269,COMP,Comprehensive (multi-field),Generalista (multidisciplinare),COMP,name-heuristic,231,city,https://raw.githubusercontent.com/HieuTam/P4DS-Global_Cost_of_Living/main/data/cost-of-living_v2.csv,univ-metz.fr,http://www.univ-metz.fr/,,,,,,,
539,Université Paris-Est Marne-la-Vallée,France,FR,Paris,48.85341,2.3488,COMP,Comprehensive (multi-field),Generalista (multidisciplinare),COMP,name-heuristic,800,city,https://housinganywhere.com/Paris--France/paris-cost-of-living,univ-mlv.fr,http://www.univ-mlv.fr/,,,,,,,
540,Université de Montpellier,France,FR,Montpellier,43.61093,3.87635,COMP,Comprehensive (multi-field),Generalista (multidisciplinare),AGR|ARC|ART|BUS|EDU|ENG|HUM|ICT|LAW|MED|SCI|SOC,ETER,490,city,https://www.locservice.fr/herault-34/location-chambre-montpellier.html,univ-montp1.fr,https://www.umontpellier.fr/,401–500,46.2,39.5,33.5,68.7,66.8,68.7
541,Université Paul Valéry (Montpellier III),France,FR,Montpellier,43.61093,3.87635,COMP,Comprehensive (multi-field),Generalista (multidisciplinare),AGR|ARC|ART|BUS|EDU|ENG|HUM|ICT|LAW|MED|SCI|SOC,ETER,490,city,https://www.locservice.fr/herault-34/location-chambre-montpellier.html,univ-montp3.fr,http://www.univ-montp3.fr/,,,,,,,
542,Université de Haute-Alsace,France,FR,Mulhouse,47.75205,7.32866,COMP,Comprehensive (multi-field),Generalista (multidisciplinare),COMP,name-heuristic,208,city,https://raw.githubusercontent.com/HieuTam/P4DS-Global_Cost_of_Living/main/data/cost-of-living_v2.csv,univ-mulhouse.fr,http://www.univ-mulhouse.fr/,,,,,,,
543,Université Nancy II,France,FR,Nancy,48.68439,6.18496,COMP,Comprehensive (multi-field),Generalista (multidisciplinare),COMP,name-heuristic,245,city,https://www.numbeo.com/cost-of-living/in/Nancy,univ-nancy2.fr,http://www.univ-nancy2.fr/,,,,,,,
544,Université de Nantes,France,FR,Nantes,47.21725,-1.55336,COMP,Comprehensive (multi-field),Generalista (multidisciplinare),AGR|ARC|ART|BUS|EDU|ENG|HUM|ICT|LAW|MED|SCI|SOC,ETER,450,city,https://www.locservice.fr/loire-atlantique-44/location-chambre-nantes.html,univ-nantes.fr,http://www.univ-nantes.fr/,601–800,39.0,29.3,21.4,65.6,59.8,67.6
545,Université d'Orléans,France,FR,Orléans,47.90248,1.90407,COMP,Comprehensive (multi-field),Generalista (multidisciplinare),AGR|ARC|ART|BUS|EDU|ENG|HUM|ICT|LAW|MED|SCI|SOC,ETER,204,city,https://raw.githubusercontent.com/HieuTam/P4DS-Global_Cost_of_Living/main/data/cost-of-living_v2.csv,univ-orleans.fr,http://www.univ-orleans.fr/,,,,,,,
546,Université Val-de-Marne (Paris XII),France,FR,Paris,48.85341,2.3488,COMP,Comprehensive (multi-field),Generalista (multidisciplinare),ARC|ART|BUS|EDU|ENG|HUM|ICT|LAW|MED|SCI|SOC,ETER,800,city,https://housinganywhere.com/Paris--France/paris-cost-of-living,univ-paris12.fr,http://www.univ-paris12.fr/,,,,,,,
547,Université Paris Nord (Paris XIII),France,FR,Paris,48.85341,2.3488,COMP,Comprehensive (multi-field),Generalista (multidisciplinare),COMP,name-heuristic,800,city,https://housinganywhere.com/Paris--France/paris-cost-of-living,univ-paris13.fr,http://www.univ-paris13.fr/,,,,,,,
548,Université Panthéon-Sorbonne (Paris I),France,FR,Paris,48.85341,2.3488,COMP,Comprehensive (multi-field),Generalista (multidisciplinare),ARC|ART|BUS|EDU|ENG|HUM|ICT|LAW|MED|SCI|SOC,ETER,800,city,https://housinganywhere.com/Paris--France/paris-cost-of-living,univ-paris1.fr,http://www.univ-paris1.fr/,801–1000,35.5,36.9,34.0,38.0,63.4,35.8
549,Université Sorbonne-Nouvelle (Paris III),France,FR,Paris,48.85341,2.3488,COMP,Comprehensive (multi-field),Generalista (multidisciplinare),ART|BUS|EDU|HUM|ICT|LAW|MED|SOC,ETER,800,city,https://housinganywhere.com/Paris--France/paris-cost-of-living,univ-paris3.fr,http://www.univ-paris3.fr/,,,,,,,
550,Université René Descartes (Paris V),France,FR,Paris,48.85341,2.3488,COMP,Comprehensive (multi-field),Generalista (multidisciplinare),ARC|ART|BUS|EDU|ENG|HUM|ICT|LAW|MED|SCI|SOC,ETER,800,city,https://housinganywhere.com/Paris--France/paris-cost-of-living,univ-paris5.fr,http://www.univ-paris5.fr/,,,,,,,
551,Université Vincennes Saint-Denis (Paris VIII),France,FR,Paris,48.85341,2.3488,COMP,Comprehensive (multi-field),Generalista (multidisciplinare),COMP,name-heuristic,800,city,https://housinganywhere.com/Paris--France/paris-cost-of-living,univ-paris8.fr,http://www.univ-paris8.fr/,,,,,,,
552,Université de Pau et des Pays de l'Adour,France,FR,Pau,43.31117,-0.35583,COMP,Comprehensive (multi-field),Generalista (multidisciplinare),AGR|ARC|ART|BUS|EDU|ENG|HUM|ICT|LAW|MED|SCI|SOC,ETER,500,country:city-derived,https://erasmusplay.com/en/strasbourg.html,univ-pau.fr,http://www.univ-pau.fr/,,,,,,,
553,Université de Perpignan,France,FR,Perpignan,42.69764,2.89541,COMP,Comprehensive (multi-field),Generalista (multidisciplinare),AGR|ARC|ART|BUS|EDU|ENG|HUM|ICT|LAW|MED|SCI|SOC,ETER,326,city,https://raw.githubusercontent.com/HieuTam/P4DS-Global_Cost_of_Living/main/data/cost-of-living_v2.csv,univ-perp.fr,http://www.univ-perp.fr/,,,,,,,
554,Université de Poitiers,France,FR,Poitiers,46.58261,0.34348,COMP,Comprehensive (multi-field),Generalista (multidisciplinare),AGR|ARC|ART|BUS|EDU|ENG|HUM|ICT|LAW|MED|SCI|SOC,ETER,172,city,https://raw.githubusercontent.com/HieuTam/P4DS-Global_Cost_of_Living/main/data/cost-of-living_v2.csv,univ-poitiers.fr,http://www.univ-poitiers.fr/,1201–1500,27.3,27.5,20.9,30.5,61.6,39.7
555,Université de Reims Champagne-Ardenne,France,FR,Reims,49.26526,4.02853,COMP,Comprehensive (multi-field),Generalista (multidisciplinare),AGR|ARC|ART|BUS|EDU|ENG|HUM|ICT|LAW|MED|SCI|SOC,ETER,339,city,https://raw.githubusercontent.com/HieuTam/P4DS-Global_Cost_of_Living/main/data/cost-of-living_v2.csv,univ-reims.fr,http://www.univ-reims.fr/,1201–1500,27.3,29.1,9.8,37.4,56.1,36.4
556,Université Rennes I,France,FR,Rennes,48.11109,-1.67431,COMP,Comprehensive (multi-field),Generalista (multidisciplinare),AGR|ARC|ART|BUS|EDU|ENG|HUM|ICT|LAW|MED|SCI|SOC,ETER,430,city,https://www.locservice.fr/ille-et-vilaine-35/location-chambre-rennes.html,univ-rennes1.fr,http://www.univ-rennes1.fr/,601–800,39.0,34.3,20.0,53.4,62.2,70.0
